Party,Expanded_Party_Name
INC,INDIAN NATIONAL CONGRESS
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
CPI,COMMUNIST PARTY OF INDIA
TUS,TRIPURA UPAJATI JUBA SAMITI
FBL,ALL INDIA FORWARD BLOC
RSP,REVOLUTIONARY SOCIALIST PARTY
BJP,BHARATIYA JANATA PARTY
TJS,TRIPURA UPJATI JUBA SAMITY
JD(B),JANTA DAL (B)
TUJS,TRIPURA UPAJATI JUBA SAMITY
INPT,INDIGENOUS NATIONALIST PARTY OF TWIPRA
IPFT,INDIGENOUSN PEOPLE'S FRONT OF TRIPURA
